0.000000000000000000e+00,2.834628005571819842e+06,2.576103163779273629e+06,3.631064639765694737e+06,4.617184211175516248e+06,3.862095511319405865e+06,5.981349321063131094e+06,2.767717789007141721e+06,8.940479791357666254e+05,2.099876072336256504e+06
2.834628005571819842e+06,0.000000000000000000e+00,7.854155768433287740e+05,1.056064074989102548e+06,1.306635012157537043e+06,1.478849174591958290e+06,1.418938378018520540e+06,9.039941658120378852e+05,1.699025040491379797e+06,9.024919650205299258e+05
2.576103163779273629e+06,7.854155768433287740e+05,0.000000000000000000e+00,2.676111897350847721e+05,3.615019656021893024e+05,4.920576714072153554e+05,8.349345224664807320e+05,1.749550682351440191e+05,2.426476073149979580e+06,2.006967299943327671e+06
3.631064639765694737e+06,1.056064074989102548e+06,2.676111897350847721e+05,0.000000000000000000e+00,2.207042563395052857e+05,1.698937279879078269e+05,4.589953685596882715e+05,3.556652126483768807e+05,3.426995128567412496e+06,2.810544470595031977e+06
4.617184211175516248e+06,1.306635012157537043e+06,3.615019656021893024e+05,2.207042563395052857e+05,0.000000000000000000e+00,3.815497581646367325e+05,2.120703161495626264e+05,4.683306940593718900e+05,4.266792828517645597e+06,3.351612059922844172e+06
3.862095511319405865e+06,1.478849174591958290e+06,4.920576714072153554e+05,1.698937279879078269e+05,3.815497581646367325e+05,0.000000000000000000e+00,6.865465583882556530e+05,7.117825974769368768e+05,3.600854720559708308e+06,3.535316641364775598e+06
5.981349321063131094e+06,1.418938378018520540e+06,8.349345224664807320e+05,4.589953685596882715e+05,2.120703161495626264e+05,6.865465583882556530e+05,0.000000000000000000e+00,9.000393191137315007e+05,5.058899664336860180e+06,3.660490666369646322e+06
2.767717789007141721e+06,9.039941658120378852e+05,1.749550682351440191e+05,3.556652126483768807e+05,4.683306940593718900e+05,7.117825974769368768e+05,9.000393191137315007e+05,0.000000000000000000e+00,2.756490096775069367e+06,1.815309183096989989e+06
8.940479791357666254e+05,1.699025040491379797e+06,2.426476073149979580e+06,3.426995128567412496e+06,4.266792828517645597e+06,3.600854720559708308e+06,5.058899664336860180e+06,2.756490096775069367e+06,0.000000000000000000e+00,1.138364446358889574e+06
2.099876072336256504e+06,9.024919650205299258e+05,2.006967299943327671e+06,2.810544470595031977e+06,3.351612059922844172e+06,3.535316641364775598e+06,3.660490666369646322e+06,1.815309183096989989e+06,1.138364446358889574e+06,0.000000000000000000e+00
